values,ind
"xian3,xian1",鱻
yong2,鰫
diao1,鯛
bi3,舭
qing4,罄
"qu5,qu1",蛐
sha1,痧
ru2,襦
dao1,鱽
qian2,鰬
zuo4,酢
zhong1,舯
xia4,罅
ting2,蜓
zhu2,瘃
pan4,襻
ji3,鱾
qi2,鰭
tuo2,酡
ban3,舨
shi4,舐
kuo4,蛞
fei4,痱
"ya3,pi3",疋
tun2,鲀
wen1,鰮
xian1,酰
fang3,舫
zhu2,竺
qi2,蛴
gu4,痼
xu1,胥
"ba4,ba1",鲃
ruo4,鰯
ming3,酩
ge3,舸
yu2,竽
jiao1,蛟
wei3,痿
jun1,皲
"he2,ge3",鲄
zhi3,酯
lu2,舻
ji2,笈
yang2,蛘
yu3,瘐
cun1,皴
you2,鲉
lian2,鰱
yan4,酽
zhu2,舳
du3,笃
mou2,蛑
jin1,矜
yu1,瘀
"zha4,zha3",鲊
ao2,鰲
shai1,酾
ze2,舴
ji1,笄
shen4,蜃
lei3,耒
"dan4,dan1",瘅
"bo2,ba4",鲌
le4,鰳
cheng2,酲
xi1,舾
jian3,笕
zhe1,蜇
zi3,耔
"la5,la4",瘌
"pi2,pi1",鲏
hui1,鰴
tu2,酴
shao1,艄
zhao4,笊
"xiao1,shao1",蛸
chao4,耖
yi4,瘗
kao4,鲓
min3,鰵
lei4,酹
wei3,艉
zi3,笫
wu2,蜈
si4,耜
hou2,瘊
tong2,鲖
ji4,鰶
kun1,醌
meng3,艋
hu4,笏
li2,蜊
huo1,耠
"chai4,cuo2",瘥
zei2,鲗
tiao2,鰷
pei1,醅
shou3,艏
qiong2,筇
chu2,蜍
lao4,耢
lou4,瘘
hou4,鲘
qu1,鰸
hu2,醐
cao2,艚
po3,笸
fu2,蜉
tang1,耥
jia3,瘕
kuai4,鲙
jian1,鰹
ti2,醍
chong1,艟
da2,笪
qiang1,蜣
ou3,耦
sao4,瘙
zha3,鲝
"shen1,can1",鰺
xu3,醑
meng2,艨
sheng1,笙
qing1,蜻
lou2,耧
wen1,鰛
sha1,鯋
xia1,魻
shuai4,蟀
han1,蚶
you2,疣
jian3,裥
"qian4,jian1",鰜
kao4,鯌
dian4,簟
mao2,蟊
"gu3,gu1",蛄
gan1,疳
biao3,裱
hao4,鰝
meng2,鯍
zan1,簪
peng2,蟛
ke1,蚵
ke1,疴
chu3,褚
wu1,鰞
cheng2,鯎
deng1,簦
hui4,蟪
li4,蛎
"dan3,da5",疸
"xi1,ti4",裼
pang2,鰟
li2,鯏
bo4,簸
pan2,蟠
you2,蚰
zha4,痄
bi4,裨
sao1,鰠
lai4,籁
shan4,蟮
ran2,蚺
pao4,疱
ju1,裾
liu2,鰡
zhou4,籀
huo4,蠖
"zha5,zha4",蚱
zhu4,疰
duo1,裰
ma3,鰢
yong3,鯒
yu2,臾
meng3,蠓
qiu1,蚯
xuan2,痃
da1,褡
shi2,鰣
shen1,鯓
yu2,舁
chan2,蟾
ling2,蛉
jia1,痂
"bei5,bei4",褙
shi1,鰤
zi1,鯔
chong1,舂
lian2,蠊
cheng1,蛏
ya3,痖
bao3,褓
"guan4,guan1",鰥
qi2,鯕
xi4,舄
mie4,蠛
you4,蚴
yi2,痍
lv3,褛
zi1,鰦
"zheng1,qing1",鯖
nie4,臬
"li3,li2",蠡
qiong2,蛩
zhi4,痣
bian3,褊
teng2,鰧
xiang3,鯗
nv4,衄
du4,蠹
jia2,蛱
lao2,痨
lan2,褴
ta3,鰨
nei3,鯘
chuan2,舡
qu2,蠼
nao2,蛲
wu4,痦
chi3,褫
yao2,鰩
chun2,鯙
shan1,舢
fou3,缶
zhi4,蛭
cuo2,痤
zhe3,褶
"ge2,e2",鰪
ji4,鯚
yi3,舣
ying1,罂
si1,蛳
xian2,痫
qiang3,襁
suo1,鮻
shen3,魫
song1,鬆
qiu2,虬
ying1,鹦
"lou2,ju4",窭
qin1,鮼
ban3,魬
ma2,蟆
ji3,虮
zhe4,鹧
yu3,窳
yu2,鮽
"yuan2,wan3",魭
yuan2,螈
chai4,虿
liu4,鹨
yi1,衤
nei3,鮾
pi2,魮
xi1,螅
"hui3,hui1",虺
liao2,鹩
cha3,衩
zhe2,鮿
lu3,魯
chi1,螭
ge4,虼
jiao1,鹪
na4,衲
gun3,鯀
wen2,魰
tang2,螗
meng2,虻
jiu4,鹫
ren4,衽
geng3,鯁
"hu4,hu2",魱
pang2,螃
fu2,蚨
yu4,鹬
jin1,衿
su1,鯂
lu2,魲
shi4,螫
pi2,蚍
hu4,鹱
mei4,袂
wu2,鯃
"za1,shi1",魳
huang2,蟥
rui4,蚋
lu4,鹭
pan4,袢
qiu2,鯄
fang2,魴
cao2,螬
xian4,蚬
guan4,鹳
dang1,裆
"shen3,shan1",鯅
"fen4,fen2",魵
piao1,螵
hao2,蚝
bing4,疒
qia1,袷
pu1,鯆
na4,魶
tang2,螳
jie4,蚧
ding1,疔
ge1,袼
huan4,鯇
you2,魷
xi1,蟋
gong1,蚣
jie1,疖
ken4,裉
"tiao2,chou2",鯈
xiang4,蟓
dou3,蚪
li4,疠
lian2,裢
li3,鯉
zhong1,螽
yin3,蚓
shan4,疝
"cheng3,cheng2",裎
sha1,鯊
"he2,ge3",魺
zhang1,蟑
chi1,蚩
li4,疬
lian3,裣
dao1,魛
"rou2,mao2",髳
"zhan4,zhan1",驙
hu2,鹄
dian4,癜
ren2,魜
"fu2,fei4",髴
jie2,颉
yu4,鹆
pi3,癖
"jie2,ji4",魝
er2,髵
he2,颌
xian2,鹇
dian1,癫
"rong2,er4",髶
ying3,颍
ti2,鹈
qu2,癯
"hong2,gong1",魟
qu1,髷
ke1,颏
wu3,鹉
yi4,翊
tuo1,魠
gong1,髸
han4,颔
miao2,鹋
song3,竦
"diao4,di2",魡
"yue4,kuo4",髺
e4,颚
an1,鹌
xi1,穸
ji3,魢
peng2,髼
zhuan1,颛
bei1,鹎
qiong2,穹
yu2,魣
zhua1,髽
nie4,颞
chun2,鹑
zhun1,窀
"hua4,e2",魤
"shao3,shao1",髾
man1,颟
hu2,鹕
bian3,窆
"qie4,e4",魥
suo1,髿
sang3,颡
e4,鹗
yao3,窈
"sha1,suo1",魦
ti4,鬀
hao4,颢
ci2,鹚
tiao3,窕
"hang2,hang1",魧
li4,鬁
ru2,颥
mei2,鹛
dou4,窦
tun2,魨
bin4,鬂
pin2,颦
wu4,鹜
ke1,窠
mo4,魩
"ti4,di4",鬄
hu3,虍
yao4,鹞
yu2,窬
jie4,魪
peng2,鬅
qian2,虔
jian1,鹣
xun1,窨
lao2,髝
xu1,驉
yuan1,鸢
mang2,駹
sao4,髞
hua2,驊
bao3,鸨
chi4,瘛
kun1,髠
bo1,驋
zhen4,鸩
mo4,瘼
"ti4,di2",髢
su4,驌
gu1,鸪
ban1,瘢
fang3,髣
xiao1,驍
dong1,鸫
ji2,瘠
xiu1,髤
